"PUBID","KEY!SEX","KEY!RACE_ETHNICITY","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.13","YHEA-1320~000004","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.10","YEMP_OCCODE-2002.11","YEMP_OCCODE-2002.12","CV_CHILD_BIRTH_DATE.01~Y","CV_CHILD_BIRTH_DATE.02~Y","CV_CHILD_BIRTH_DATE.03~Y","CV_CHILD_BIRTH_DATE.04~Y","CV_CHILD_BIRTH_DATE.05~Y","CV_CHILD_BIRTH_DATE.06~Y","CV_CHILD_BIRTH_DATE.07~Y","CV_CHILD_BIRTH_DATE.08~Y","CV_CHILD_BIRTH_DATE.09~Y","CV_CHILD_BIRTH_DATE.10~Y","CV_CHILD_BIRTH_DATE.11~Y","CV_CHILD_BIRTH_DATE.12~Y","CV_CHILD_BIRTH_DATE.13~Y","CV_CHILD_BIRTH_DATE.14~Y","CV_CHILD_BIRTH_DATE.15~Y"
12,1,2,28,61500,3,0,3,1,4850,50,-4,-4,-4,-4,-4,-4,-4,29,56000,3,0,3,21,4850,50,-4,-4,-4,-4,-4,-4,-4,29,143000,3,0,3,7,4850,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,68000,1,0,3,20,4850,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2012,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13,1,2,25,55000,4,1,3,4,4110,4010,-4,-4,-4,-4,-4,-4,-4,26,-3,2,0,3,7,4110,-4,-4,-4,-4,-4,-4,-4,-4,26,17750,2,0,3,7,4110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-3,1,0,3,3,4110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
14,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,13036,2,0,3,2,5850,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,35,17500,2,0,3,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
15,2,2,27,-3,2,0,3,-2,4760,4040,-4,-4,-4,-4,-4,-4,-4,28,82000,3,0,3,1,4760,-4,-4,-4,-4,-4,-4,-4,-4,28,187000,3,0,3,12,4760,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
16,1,2,27,0,2,0,3,3,7010,-4,-4,-4,-4,-4,-4,-4,-4,28,38750,2,0,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-3,2,0,3,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-3,1,0,3,0,4650,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2007,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
17,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,1,27,-3,3,1,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,0,3,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,35000,3,1,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,28000,4,3,3,7,3500,3600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1999,2003,2014,2015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
19,1,1,25,0,3,1,3,7,5620,-4,-4,-4,-4,-4,-4,-4,-4,26,45000,3,1,3,-1,9620,5620,-4,-4,-4,-4,-4,-4,-4,27,66000,3,1,3,7,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,31,37500,3,0,3,7,4130,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2007,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
20,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,0,3,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,35,-3,3,1,3,3,4500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
21,1,2,27,0,2,0,3,7,20,-4,-4,-4,-4,-4,-4,-4,-4,28,0,2,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,0,2,0,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,38000,4,2,3,4,5620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2007,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
22,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,28,75250,5,3,3,7,3730,-4,-4,-4,-4,-4,-4,-4,-4,29,65000,5,3,3,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,152000,1,0,3,7,3730,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2009,2017,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
23,2,2,26,-3,1,0,3,7,5840,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,1,0,3,0,50,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,1,0,3,1,5840,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-3,2,1,3,1,530,5840,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2013,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
24,1,2,25,7200,4,0,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,26,-3,4,0,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,0,4,0,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-3,5,3,3,4,6420,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2002,2004,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
25,2,2,26,38000,4,2,3,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,4,2,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,41250,4,2,3,5,5820,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,37500,4,2,3,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2004,2007,2017,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
26,1,1,28,1980,1,0,3,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,14250,1,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-3,1,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,7500,1,0,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
27,1,1,28,3500,4,2,3,4,7800,-4,-4,-4,-4,-4,-4,-4,-4,29,1750,4,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,2750,5,3,3,1,4140,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,8000,5,3,3,3,7800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2005,2008,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
28,2,1,25,32000,4,0,3,7,2310,-4,-4,-4,-4,-4,-4,-4,-4,27,31750,3,1,3,7,2310,-4,-4,-4,-4,-4,-4,-4,-4,27,40500,3,1,3,6,2310,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-3,2,1,3,5,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2009,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
29,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,4,27,77300,4,0,3,1,600,-4,-4,-4,-4,-4,-4,-4,-4,28,290810,4,0,3,3,600,-4,-4,-4,-4,-4,-4,-4,-4,29,85500,4,0,3,5,600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,60000,1,0,3,5,430,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
32,2,4,28,-3,3,1,2,7,110,-4,-4,-4,-4,-4,-4,-4,-4,29,160000,3,1,2,7,110,730,110,-4,-4,-4,-4,-4,-4,30,167000,3,1,2,2,110,430,110,-4,-4,-4,-4,-4,-4,-4,-4,34,230000,3,1,2,0,430,110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2006,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
33,2,4,28,22800,4,0,3,4,2720,410,-4,-4,-4,-4,-4,-4,-4,29,290810,4,0,3,2,2720,410,-4,-4,-4,-4,-4,-4,-4,30,316618,4,0,3,3,2720,410,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,95000,6,2,3,1,2720,410,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2012,2015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
34,2,4,24,7750,4,0,3,4,4150,4760,4110,-4,-4,-4,-4,-4,-4,25,250,4,0,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,26,75000,4,0,3,3,4920,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-3,4,0,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2016,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
35,1,4,26,-3,2,0,3,2,1100,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,2,0,3,1,1100,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,2,0,3,7,1100,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-3,4,2,3,2,1100,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2013,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
36,2,4,29,29250,4,2,3,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,30500,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,35250,3,2,2,2,4050,7160,-4,-4,-4,-4,-4,-4,-4,-4,0,35,39000,2,0,3,5,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
37,2,4,29,-3,3,0,3,7,4550,-4,-4,-4,-4,-4,-4,-4,-4,29,290810,2,0,3,3,4550,-4,-4,-4,-4,-4,-4,-4,-4,30,316618,4,0,3,3,4550,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,34,195000,2,0,3,0,4550,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
38,2,4,27,105750,2,0,3,1,4550,2000,2200,-4,-4,-4,-4,-4,-4,29,110750,2,0,3,2,4550,-4,-4,-4,-4,-4,-4,-4,-4,30,115750,4,0,3,0,4550,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,149000,1,0,3,2,4550,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
39,1,2,29,92500,4,0,3,0,2340,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,86643,3,0,3,2,2340,2340,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-3,3,0,3,1,2340,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
40,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
41,2,4,26,37600,2,0,3,0,4110,2140,-4,-4,-4,-4,-4,-4,-4,27,40000,1,0,3,7,4110,4110,-4,-4,-4,-4,-4,-4,-4,28,45000,2,0,3,0,4110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,121829,2,0,3,7,700,5700,4850,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017,2018,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
42,1,4,26,23083,4,0,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,4,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,2,1,27,53000,2,0,3,5,4720,-4,-4,-4,-4,-4,-4,-4,-4,29,31076,1,0,3,3,7750,4720,-4,-4,-4,-4,-4,-4,-4,29,0,1,0,3,4,7750,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,2500,1,0,3,3,4600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
44,1,2,27,38750,5,0,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,5,0,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-3,5,0,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,50000,4,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2004,2008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
45,2,1,25,7500,2,1,3,3,3600,-4,-4,-4,-4,-4,-4,-4,-4,26,19250,2,1,3,2,3600,-4,-4,-4,-4,-4,-4,-4,-4,27,4064,2,1,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,0,2,1,3,1,4610,3600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
46,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,27,16500,1,0,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,0,1,0,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2000,2008,2015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
47,2,1,27,45000,2,0,3,2,5810,-4,-4,-4,-4,-4,-4,-4,-4,28,71000,1,0,3,2,5810,5620,5810,-4,-4,-4,-4,-4,-4,29,23250,2,1,3,7,5810,5620,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,24200,3,2,3,0,3600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2011,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
48,2,1,26,65500,3,1,3,3,2010,5400,-4,-4,-4,-4,-4,-4,-4,27,95000,2,1,3,4,2010,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,2,1,3,2,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,61000,3,2,3,7,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2003,2015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
49,2,1,26,28600,4,2,3,1,3410,-4,-4,-4,-4,-4,-4,-4,-4,27,45500,4,2,3,4,3410,-4,-4,-4,-4,-4,-4,-4,-4,29,-3,5,3,3,2,3410,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-3,5,3,3,0,3410,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2001,2008,2011,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
